photo-count,list-view-price,list-view-date,left,celly,celly 2,celly 3,celly 4,list-view-header,list-view-location,img-wrp href,he-lazy-image src,he-lazy-image src 2,city,district,neighborhood,room,living_room,area,age,floor,price
21,15000,19-03-2024,Kiralık Daire,3 +                        1,140 m²,25                       Yaşında,3. Kat,Kısmet Emlaktan Irmak Mah 3+1doğal Gazlı Kiralık Daire,"Gaziemir, Irmak Mahallesi",,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/0/6/1/3/2/4/1709746135869-42316020.jpg,,izmir,gaziemir,irmak,3,1,140,25,3,15000
43,50000,28-02-2024,Kiralık Daire,3 +                        1,220 m²,25                       Yaşında,1. Kat,Akaoyun En Güzel Bölgesinde 3+1 Eşyalı Kiralık Dubleks Daire,"Karşıyaka, Aksoy Mahallesi",https://www.hepsiemlak.com/emlak-ofisi/koyculer-gayrimenkul-limited-2186,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/2/8/8/7/2/2/4/e85b2bae-f4c5-4faa-86e5-c8183ce9e0e7.jpg,https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/8/1/2/0/0/5dd54d82-40a8-4053-b1d2-b37f691b512a.jpg,izmir,karsiyaka,aksoy,3,1,220,25,1,50000
50,20000,27-02-2024,Kiralık Daire,3 +                        1,120 m²,35                       Yaşında,3. Kat,Volkan Emlaktan Evka3 Adil Demir Sit.De Ara Kat Park Manzaralı,"Bornova, Evka 3 Mahallesi",,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/3/1/2/4/2/2/4/f482c751-cdf1-45c1-8247-f85564b83d3f.jpg,,izmir,bornova,evka_3,3,1,120,35,3,20000
28,22000,26-03-2024,Kiralık Daire,2 +                        1,90 m²,0 Yaşında,3. Kat,Bahçelievlerde Sıfır Bina Yerden Isıtmalı Ebeveyn Banyolu Kiralık 2+1 Daire Ara Kat,"Karabağlar, Bahçelievler Mahallesi",https://www.hepsiemlak.com/emlak-ofisi/remax-jolly-141959,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/9/8/3/2/2/4/dcea36f3-b18d-41ce-be8d-0292dcad56b5.jpg,https://hecdnnw.hemlak.com/mncropresize/91/68/logo/9/5/9/1/4/1/566c95ad-90b3-4129-a33f-189dd3af9ec2.jpg,izmir,karabaglar,bahcelievler,2,1,90,0,3,22000
23,12500,01-04-2024,Kiralık Daire,3 +                        1,125 m²,25                       Yaşında,2. Kat,Buca Yeşilbağlar Mahallesinde 3+1 Arakat Doğalgazlı Kiralık Daire,"Buca, Yeşilbağlar Mahallesi",,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/4/7/8/1/2/4/bb0b0dfc-c7f5-4bf2-bcf7-2b8510d958c3.jpg,,izmir,buca,yesilbaglar,3,1,125,25,2,12500
32,15500,07-04-2024,Kiralık Daire,2 +                        1,85 m²,0 Yaşında,3. Kat,Yeşilyurt Hast.Yanı Asansör Otoparklı Doğalgazlı Kiralık 2+1 Daire,"Karabağlar, Vatan Mahallesi",https://www.hepsiemlak.com/emlak-ofisi/akalin-insaat-gayrimenkul-140060,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/6/2/7/7/7/1/4/9c3f6cf9-bdb8-4d0a-a352-d07ee5623380.jpg,https://hecdnnw.hemlak.com/mncropresize/91/68/logo/0/6/0/0/4/1/57cbaca5-b99f-4a40-b54e-14b76f18730a.jpg,izmir,karabaglar,vatan,2,1,85,0,3,15500
17,15000,27-03-2024,Kiralık Daire,2 +                        1,110 m²,2                       Yaşında,2. Kat,Çeşme Germinyan Da Kiralık 2+1 Daire,"Çeşme, Germiyan Mahallesi",https://www.hepsiemlak.com/emlak-ofisi/zehra-zurnaci-gayrimenkul-ve-danismanlik-104662,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/1/9/2/1/2/2/4/1708025661-152173-42212918.jpeg,https://hecdnnw.hemlak.com/mncropresize/91/68/logo/2/6/6/4/0/1/704f52e2-7d0d-4993-b58a-aa2a9fd5eeae.jpg,izmir,cesme,germiyan,2,1,110,2,2,15000
10,16000,16-04-2024,Kiralık Daire,2 +                        1,85 m²,14                       Yaşında,3. Kat,Balçovada Eğitim Mh De Bakımlı 2+1 Kiralık Daire,"Balçova, Eğitim Mahallesi",,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/8/4/2/3/4/2/4/1711718724-168878-42432488.jpeg,,izmir,balcova,egitim,2,1,85,14,3,16000
28,14000,12-03-2024,Kiralık Daire,2 +                        1,90 m²,2                       Yaşında,2. Kat,Simge Emlak'ta Kiralık Yeni Daire,"Foça, Kazım Dirik Mahallesi",,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/4/2/2/3/2/4/1709847700270-42322420.jpg,,izmir,foca,kazim_dirik,2,1,90,2,2,14000
12,45000,14-04-2024,Kiralık Villa,3 +                        1,130 m²,17                       Yaşında,2. Kat,Seferihisar Ömür Beldesinde Denize Sıfır Dubleks,"Seferihisar, Atatürk Mahallesi",,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/9/4/6/7/2/0/4/1675978937-686532-40276491.jpeg,,izmir,seferihisar,ataturk,3,1,130,17,2,45000
14,20000,25-03-2024,Kiralık Daire,3 +                        1,160 m²,25                       Yaşında,2. Kat,Harika Lokasyon Alsancak 2 Kordonda Deniz Yakını 3+1 140 M Daire,"Konak, Alsancak Mahallesi",,,,izmir,konak,alsancak,3,1,160,25,2,20000
14,12500,18-03-2024,Kiralık Daire,2 +                        1,85 m²,6                       Yaşında,3. Kat,Menemen Seyrek 2+1 Eşyalı Kiralık Daire,"Menemen, Gazi Mustafa Kemal Mahallesi",https://www.hepsiemlak.com/emlak-ofisi/kw-alesta-viya-orsa-1-31220,https://hecdnnw.hemlak.com/mncropresize/91/68/logo/0/2/2/1/3/0/9d5f9d5b-1b38-4d3e-95fa-f8581a33ad55.jpg,,izmir,menemen,gazi_mustafa_kemal,2,1,85,6,3,12500
10,10000,13-04-2024,Kiralık Daire,2 +                        1,125 m²,21                       Yaşında,3. Kat,Ay Gayrimenkul Den 2+1 Doğalgazlı Fırsat Daire,"Buca, Yeşilbağlar Mahallesi",https://www.hepsiemlak.com/emlak-ofisi/ay-gayrimenkul-144455,https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/5/4/4/4/1/90dfd4a3-4146-462b-862b-4f820fa78e23.jpg,,izmir,buca,yesilbaglar,2,1,125,21,3,10000
